clusters,power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas
0,1.135264632,10.78186564,1.541670307,448.5860525,1.861002481,0.06315788,3.15434259,0.006476923,3.007730661,0.172547317,31406.14492,277.2818461
1,0.980716292,10.22351423,1.044200833,445.8575009,1.158894382,0.06245719,1.754162863,0.004482233,3.056819291,0.163943084,31072.04453,272.9018528
2,3.703354032,10.16775716,1.417208996,334.9778789,1.48716639,0.089413552,3.124926093,0.012065491,7.217071397,0.16040058,33111.27709,911.9617482
3,1.417941679,5.250808826,1.025520372,447.8121144,0.768212159,0.116720366,1.410321885,0.006012278,3.472630719,0.203095737,33499.38109,272.1550942
4,2.510077899,8.700762235,1.018308026,373.9268981,1.256008095,0.099611716,2.020326011,0.009091263,6.036328511,0.171584964,32494.09961,522.4092431
5,1.697400614,7.263903376,1.014819386,429.8662525,0.877405859,0.112593378,1.589456183,0.006813211,4.071346982,0.194220849,33382.02524,305.2713157
6,1.749128712,19.2919541,1.958845836,3.180502577,2.175819787,0.017245704,3.457137215,0.009599879,2.503896038,0.048011294,33251.03935,391.1126734
7,0.46394258,8.391005783,1.454294924,212.860586,1.683046983,0.037736253,3.096871074,0.004985142,2.151542487,0.078042243,31767.42883,139.488518
8,0.926174676,7.333732218,3.061087033,211.9498968,2.214509867,0.046814008,4.260440683,0.004378493,2.523093605,0.089297051,33738.19437,248.600322
9,2.718328123,27.7318904,1.430320098,6.793576526,1.344179158,0.069819962,1.813471492,0.015615138,3.987212066,0.375568076,33400.83185,682.2518998
10,2.578830504,17.51354349,1.769428334,4.324808869,2.131696531,0.029667859,3.622964814,0.011360564,3.678419008,0.195160208,36179.68191,634.0834907
11,1.439813578,11.34631192,2.785351866,5.369714561,2.682455223,0.11017852,3.332587086,0.009498245,4.249727303,0.091011973,42118.69519,364.0603709
12,0.544020201,2.394816146,0.410376116,0.842245136,0.440397768,0.00448339,0.941632026,0.002390526,0.91427331,0.016907895,33576.01429,112.1523823
13,0.597956847,3.486065823,0.623344538,0.505241319,0.469478827,0.008433318,0.634408591,0.004392649,1.512635958,0.021352327,33665.99663,133.5040985
14,0.522872285,4.082781274,0.839170028,0.255845368,0.880261659,0.0005,1.484519871,0.00267718,1.762322957,0.022309834,31198.65541,77.77576498
15,0.939899079,3.410386255,0.866264372,317.5290235,0.225045388,0.081942344,0.943696293,0.003437147,3.010957538,0.134773915,35002.01435,328.1949543
16,0.384483071,7.650579947,0.750038626,0.25118874,0.830800755,0.00124476,1.150362168,0.004144416,1.057016027,0.038029553,27039.19314,69.0459893
17,1.260001711,2.396147441,0.484103853,0.057267187,0.467200333,2.36E-16,0.696349811,0.005990646,214.8920802,0.044883438,29604.29816,271.1812732
18,0.331482019,1.649224136,0.315774625,0.007954874,0.403292898,0.002576033,0.417598818,3.12E-15,0.569618312,0.016242558,28495.37494,59.58253878
19,1.41121965,11.21550342,0.215799852,2.98268322,0.586416678,0.020047728,0.815435645,0.008512476,2.080201655,0.024174028,33313.45031,352.7734229
20,0.600564476,2.426260691,0.379279563,0.379201372,0.557305297,0.005957465,0.891149186,0.004270216,1.211940541,0.013810268,29990.25602,113.8917138
